project#,district,location,latitude,longitude,project_title
23,Corozal,Sarteneja,18.354729,-88.143997,"CAPA Initiative: Experimental treatment plots for Stony Coral Tissue Loss Disease
(SCTLD) in marine reserves"
23,Belize,Belize City,17.50639658,-88.21412846,"CAPA Initiative: Experimental treatment plots for Stony Coral Tissue Loss Disease
(SCTLD) in marine reserves"
23,Stann Creek,Dangriga,16.960212,-88.221011,"CAPA Initiative: Experimental treatment plots for Stony Coral Tissue Loss Disease
(SCTLD) in marine reserves"
23,Stann Creek,Hopkins,16.853291,-88.282704,"CAPA Initiative: Experimental treatment plots for Stony Coral Tissue Loss Disease
(SCTLD) in marine reserves"
23,Stann Creek,Placencia,16.517496,-88.368595,"CAPA Initiative: Experimental treatment plots for Stony Coral Tissue Loss Disease
(SCTLD) in marine reserves"
24,Corozal,Sarteneja,18.354729,-88.143997,"CAPA Initiative: Early warning and immediate response to tropical cyclone impact on
reefs"
24,Belize,Belize City,17.50639658,-88.21412846,"CAPA Initiative: Early warning and immediate response to tropical cyclone impact on
reefs"
24,Stann Creek,Dangriga,16.960212,-88.221011,"CAPA Initiative: Early warning and immediate response to tropical cyclone impact on
reefs"
24,Stann Creek,Hopkins,16.853291,-88.282704,"CAPA Initiative: Early warning and immediate response to tropical cyclone impact on
reefs"
24,Stann Creek,Seine Bight,16.578164,-88.365891,"CAPA Initiative: Early warning and immediate response to tropical cyclone impact on
reefs"
24,Stann Creek,Riversdale,16.6893396,-88.3109199,"CAPA Initiative: Early warning and immediate response to tropical cyclone impact on
reefs"
24,Stann Creek,Placencia,16.517496,-88.368595,"CAPA Initiative: Early warning and immediate response to tropical cyclone impact on
reefs"
25,Belize,Mahogany Heights,17.33854654,-88.56731212,Securing and managing land for conservation in the Maya Forest Corridor
25,Belize,La Democracia,17.34025679,-88.56627188,Securing and managing land for conservation in the Maya Forest Corridor
25,Belize,Hattieville,17.45003658,-88.39630669,Securing and managing land for conservation in the Maya Forest Corridor
25,Belize,Gracie Rock,0,0,Securing and managing land for conservation in the Maya Forest Corridor
25,Belize,Bermudian Landing,17.55602617,-88.53392583,Securing and managing land for conservation in the Maya Forest Corridor
25,Belize,Scotland Halfmoon,17.57066633,-88.50680242,Securing and managing land for conservation in the Maya Forest Corridor
25,Belize,Double Head Cabbage,17.54888362,-88.55888903,Securing and managing land for conservation in the Maya Forest Corridor
25,Belize,Willows Bank,17.53046143,-88.57301183,Securing and managing land for conservation in the Maya Forest Corridor
25,Belize,St. Paul's Bank,0,0,Securing and managing land for conservation in the Maya Forest Corridor
25,Belize,Rancho Dolores,17.53766581,-88.62817696,Securing and managing land for conservation in the Maya Forest Corridor
25,Cayo,Cotton Tree,17.27677793,-88.71240022,Securing and managing land for conservation in the Maya Forest Corridor
25,Cayo,Franks Eddy,17.25551884,-88.63429304,Securing and managing land for conservation in the Maya Forest Corridor
26,Belize,Bermudian Landing,17.55602617,-88.53392583,Hurricane Lisa recovery and resilience building in the Community Baboon Sanctuary
27,Belize,St. Paul's bank,0,0,Restoration of riparian forest in critical areas of the Community Baboon Sanctuary
27,Belize,Flowers Bank,17.60050089,-88.48779119,Restoration of riparian forest in critical areas of the Community Baboon Sanctuary
27,Belize,Isabella Bank,17.57919206,-88.53853713,Restoration of riparian forest in critical areas of the Community Baboon Sanctuary
28,Belize,St. Paul's bank,0,0,Climate-smart agriculture in the Community Baboon Sanctuary Landscape
28,Belize,Willows Bank,17.53046143,-88.57301183,Climate-smart agriculture in the Community Baboon Sanctuary Landscape
28,Belize,Double Head Cabbage,17.54888362,-88.55888903,Climate-smart agriculture in the Community Baboon Sanctuary Landscape
28,Belize,Scotland Halfmoon,17.57066633,-88.50680242,Climate-smart agriculture in the Community Baboon Sanctuary Landscape
28,Belize,Bermudian Landing,17.55602617,-88.53392583,Climate-smart agriculture in the Community Baboon Sanctuary Landscape
28,Belize,Isabella Bank,17.57919206,-88.53853713,Climate-smart agriculture in the Community Baboon Sanctuary Landscape
28,Belize,Flowers Bank,17.60050089,-88.48779119,Climate-smart agriculture in the Community Baboon Sanctuary Landscape
29,Stann Creek,Placencia,16.517496,-88.368595,"Strengthening sustainable seaweed mariculture through farming, ecotourism, and
marketing"
30,Corozal,Sarteneja,18.354729,-88.143997,"Harnessing the herbivory potential of king crabs and creating alternative livelihoods for
improved climate resilience in coral reefs"
30,Belize,Belize City,17.50639658,-88.21412846,"Harnessing the herbivory potential of king crabs and creating alternative livelihoods for
improved climate resilience in coral reefs"
31,Toledo,Punta Gorda,16.09940944,-88.81210393,Reef health monitoring and capacity building
31,Belize,Belize City,17.50639658,-88.21412846,Reef health monitoring and capacity building
31,Orange Walk,Orange Walk town,18.0881492,-88.567056,Reef health monitoring and capacity building
32,Corozal,Copperbank,18.321723,-88.355649,"Strengthening the capacity of fishing communities to participate in marine conservation
and sustainable resource management"
32,Corozal,Chunox,18.296055,-88.356583,"Strengthening the capacity of fishing communities to participate in marine conservation
and sustainable resource management"
32,Corozal,Sarteneja,18.354729,-88.143997,"Strengthening the capacity of fishing communities to participate in marine conservation
and sustainable resource management"
33,Belize,San Pedro,17.90994577,-87.97360864,Active restoration of critically endangered Caribbean coral species in Belize
33,Belize,Caye Caulker,17.762539,-88.028169,Active restoration of critically endangered Caribbean coral species in Belize
33,Belize,Belize City,17.50639658,-88.21412846,Active restoration of critically endangered Caribbean coral species in Belize
33,Stann Creek,Dangriga,16.960212,-88.221011,Active restoration of critically endangered Caribbean coral species in Belize
33,Stann Creek,Hopkins,16.853291,-88.282704,Active restoration of critically endangered Caribbean coral species in Belize
33,Stann Creek,Sittee River,16.81927163,-88.26975075,Active restoration of critically endangered Caribbean coral species in Belize
33,Stann Creek,Placencia,16.517496,-88.368595,Active restoration of critically endangered Caribbean coral species in Belize
33,Stann Creek,Seine Bight,16.578164,-88.365891,Active restoration of critically endangered Caribbean coral species in Belize
33,Stann Creek,Independence,16.533983,-88.422971,Active restoration of critically endangered Caribbean coral species in Belize
33,Toledo,Monkey River,16.36586901,-88.48653231,Active restoration of critically endangered Caribbean coral species in Belize
34,Corozal,Sarteneja,18.354729,-88.143997,Expansion of the Shipstern Conservational and Management Area in Northern Belize
34,Corozal,Chunox,18.296055,-88.356583,Expansion of the Shipstern Conservational and Management Area in Northern Belize
34,Corozal,Little Belize,18.20760344,-88.40333472,Expansion of the Shipstern Conservational and Management Area in Northern Belize
34,Corozal,Neuland,18.05950232,-88.24310121,Expansion of the Shipstern Conservational and Management Area in Northern Belize
34,Corozal,Fireburn,0,0,Expansion of the Shipstern Conservational and Management Area in Northern Belize
34,Orange Walk,Santa Martha,17.96878729,-88.38566035,Expansion of the Shipstern Conservational and Management Area in Northern Belize
34,Orange Walk,Carmelita,18.0111204,-88.5417581,Expansion of the Shipstern Conservational and Management Area in Northern Belize
34,Belize,Crooked Tree Village,17.77790694,-88.54246624,Expansion of the Shipstern Conservational and Management Area in Northern Belize
35,Cayo,San Antonio,17.07963556,-89.02341837,"Enhancing sustainable management and Indigenous stewardship of the Elijio Panti
National Park"
35,Cayo,El Progreso Seven Miles,17.10251396,-88.95458402,"Enhancing sustainable management and Indigenous stewardship of the Elijio Panti
National Park"
35,Cayo,Criso Rey,17.12951227,-89.05534743,"Enhancing sustainable management and Indigenous stewardship of the Elijio Panti
National Park"
36,Cayo,Harmonyville,17.27548366,-88.67294027,Building local community capacity for food security and climate adaptation
37,Orange Walk,San Felipe,17.87322273,-88.77369413,"Rio Bravo Conservation, Sustainable Management, and Climate Action Project"
37,Orange Walk,August Pine Ridge,17.97440565,-88.7287511,"Rio Bravo Conservation, Sustainable Management, and Climate Action Project"
37,Orange Walk,Indian Church,0,0,"Rio Bravo Conservation, Sustainable Management, and Climate Action Project"
37,Orange Walk,San Carlos,0,0,"Rio Bravo Conservation, Sustainable Management, and Climate Action Project"
37,Orange Walk,Indian Creek,16.31173251,-88.83553898,"Rio Bravo Conservation, Sustainable Management, and Climate Action Project"
